,leaf G2,trent G2,valyn G2,JonahP G2,icy G2
TenZ SEN,8 7 +1,3 6 -3,4 3 +1,4 3 +1,6 12 -6
Zellsis SEN,5 7 -2,4 3 +1,5 5 +0,4 14 -10,7 5 +2
zekken SEN,5 9 -4,7 8 -1,8 7 +1,6 6 +0,3 6 -3
johnqt SEN,5 2 +3,5 5 +0,4 4 +0,8 5 +3,7 11 -4
Sacy SEN,5 4 +1,4 7 -3,3 8 -5,2 4 -2,3 7 -4
