,leaf G2,trent G2,valyn G2,JonahP G2,icy G2
TenZ SEN,1 2 -1,,,,1 1 +0
Zellsis SEN,,1 0 +1,,0 3 -3,1 1 +0
zekken SEN,,1 1 +0,,,0 1 -1
johnqt SEN,,,1 0 +1,,0 1 -1
Sacy SEN,,0 1 -1,0 2 -2,,
