,leaf G2,trent G2,valyn G2,JonahP G2,icy G2
TenZ SEN,,,1 0 +1,,0 2 -2
Zellsis SEN,,,,0 2 -2,
zekken SEN,0 2 -2,0 1 -1,3 0 +3,2 2 +0,1 1 +0
johnqt SEN,,0 1 -1,,1 0 +1,
Sacy SEN,,,0 2 -2,,1 0 +1
