,leaf G2,trent G2,valyn G2,JonahP G2,icy G2
TenZ SEN,3 6 -3,1 2 -1,0 2 -2,1 2 -1,2 5 -3
Zellsis SEN,1 3 -2,3 2 +1,3 4 -1,3 6 -3,3 2 +1
zekken SEN,4 3 +1,3 5 -2,5 3 +2,3 2 +1,2 4 -2
johnqt SEN,2 1 +1,2 2 +0,1 3 -2,1 3 -2,4 6 -2
Sacy SEN,0 2 -2,2 3 -1,1 5 -4,1 3 -2,1 2 -1
