,leaf G2,trent G2,valyn G2,JonahP G2,icy G2
TenZ SEN,5 1 +4,2 4 -2,4 1 +3,3 1 +2,4 7 -3
Zellsis SEN,4 4 +0,1 1 +0,2 1 +1,1 8 -7,4 3 +1
zekken SEN,1 6 -5,4 3 +1,3 4 -1,3 4 -1,1 2 -1
johnqt SEN,3 1 +2,3 3 +0,3 1 +2,7 2 +5,3 5 -2
Sacy SEN,5 2 +3,2 4 -2,2 3 -1,1 1 +0,2 5 -3
