,leaf G2,trent G2,valyn G2,JonahP G2,icy G2
TenZ SEN,1 2 -1,,1 0 +1,,1 3 -2
Zellsis SEN,,1 0 +1,,0 5 -5,1 1 +0
zekken SEN,0 2 -2,1 2 -1,3 0 +3,2 2 +0,1 2 -1
johnqt SEN,,0 1 -1,1 0 +1,1 0 +1,0 1 -1
Sacy SEN,,0 1 -1,0 4 -4,,1 0 +1
