,SSeeS DFM,Meiy DFM,gyen DFM,Akame DFM,Jinboong DFM
PatMen PRX,1 0 +1,,1 1 +0,0 1 -1,1 0 +1
d4v41 PRX,,2 0 +2,2 0 +2,1 0 +1,
something PRX,1 0 +1,1 1 +0,1 0 +1,3 2 +1,1 1 +0
f0rsakeN PRX,1 0 +1,2 1 +1,2 2 +0,0 1 -1,0 2 -2
Jinggg PRX,1 0 +1,,2 1 +1,0 1 -1,2 1 +1
