,SSeeS DFM,Meiy DFM,gyen DFM,Akame DFM,Jinboong DFM
PatMen PRX,1 1 +0,4 2 +2,4 5 -1,2 3 -1,5 0 +5
d4v41 PRX,6 2 +4,4 3 +1,3 2 +1,8 2 +6,5 2 +3
something PRX,4 2 +2,5 3 +2,4 2 +2,4 1 +3,3 2 +1
f0rsakeN PRX,4 0 +4,2 4 -2,2 2 +0,4 3 +1,4 3 +1
Jinggg PRX,2 0 +2,2 1 +1,2 6 -4,0 4 -4,2 1 +1
