,SSeeS DFM,Meiy DFM,gyen DFM,Akame DFM,Jinboong DFM
PatMen PRX,,,0 1 -1,0 1 -1,1 0 +1
d4v41 PRX,,1 0 +1,1 0 +1,,
something PRX,,,,1 2 -1,
f0rsakeN PRX,1 0 +1,2 1 +1,2 2 +0,,
Jinggg PRX,1 0 +1,,1 0 +1,,1 1 +0
