,SSeeS DFM,Meiy DFM,gyen DFM,Akame DFM,Jinboong DFM
PatMen PRX,1 2 -1,4 1 +3,0 6 -6,3 2 +1,4 1 +3
d4v41 PRX,1 3 -2,2 5 -3,7 1 +6,3 1 +2,2 0 +2
something PRX,3 0 +3,4 4 +0,1 0 +1,1 4 -3,6 1 +5
f0rsakeN PRX,4 2 +2,3 3 +0,4 5 -1,4 2 +2,3 0 +3
Jinggg PRX,7 1 +6,3 4 -1,4 2 +2,6 2 +4,2 4 -2
