,Alfajer FNC,kaajak FNC,Boaster FNC,Chronicle FNC,crashies FNC
flyuh MKOI,0 5 -5,1 0 +1,,,0 1 -1
nataNk MKOI,0 4 -4,2 1 +1,,0 2 -2,0 2 -2
baddyG MKOI,1 0 +1,0 1 -1,,0 2 -2,1 0 +1
MONSTEERR MKOI,2 3 -1,0 2 -2,,2 0 +2,1 0 +1
Filu MKOI,2 3 -1,0 1 -1,1 2 -1,1 0 +1,1 0 +1
