,Alfajer FNC,kaajak FNC,Boaster FNC,Chronicle FNC,crashies FNC
flyuh MKOI,0 6 -6,3 6 -3,4 0 +4,7 0 +7,3 3 +0
nataNk MKOI,4 6 -2,4 2 +2,4 5 -1,0 3 -3,3 2 +1
baddyG MKOI,9 5 +4,3 3 +0,0 4 -4,2 2 +0,3 4 -1
MONSTEERR MKOI,2 4 -2,4 3 +1,2 5 -3,3 3 +0,5 4 +1
Filu MKOI,4 4 +0,2 3 -1,3 5 -2,4 2 +2,2 3 -1
