,Alfajer FNC,kaajak FNC,Boaster FNC,Chronicle FNC,crashies FNC
flyuh MKOI,0 5 -5,2 1 +1,2 5 -3,2 2 +0,1 5 -4
nataNk MKOI,3 3 +0,6 2 +4,3 2 +1,3 2 +1,3 6 -3
baddyG MKOI,3 3 +0,2 3 -1,4 2 +2,2 5 -3,1 5 -4
MONSTEERR MKOI,3 6 -3,0 5 -5,1 2 -1,2 3 -1,2 1 +1
Filu MKOI,3 6 -3,2 5 -3,1 3 -2,4 0 +4,3 3 +0
