,Alfajer FNC,kaajak FNC,Boaster FNC,Chronicle FNC,crashies FNC
flyuh MKOI,0 3 -3,,,,
nataNk MKOI,,1 0 +1,,0 1 -1,0 1 -1
baddyG MKOI,,0 1 -1,,0 1 -1,
MONSTEERR MKOI,2 3 -1,0 2 -2,,1 0 +1,
Filu MKOI,1 2 -1,,0 1 -1,,
