,Alfajer FNC,kaajak FNC,Boaster FNC,Chronicle FNC,crashies FNC
flyuh MKOI,0 1 -1,,,,
nataNk MKOI,,,,,
baddyG MKOI,,,,,
MONSTEERR MKOI,0 1 -1,,,,
Filu MKOI,1 0 +1,,,2 0 +2,
