,Alfajer FNC,kaajak FNC,Boaster FNC,Chronicle FNC,crashies FNC
flyuh MKOI,0 11 -11,5 7 -2,6 5 +1,9 2 +7,4 8 -4
nataNk MKOI,7 9 -2,10 4 +6,7 7 +0,3 5 -2,6 8 -2
baddyG MKOI,12 8 +4,5 6 -1,4 6 -2,4 7 -3,4 9 -5
MONSTEERR MKOI,5 10 -5,4 8 -4,3 7 -4,5 6 -1,7 5 +2
Filu MKOI,7 10 -3,4 8 -4,4 8 -4,8 2 +6,5 6 -1
