,Alfajer FNC,kaajak FNC,Boaster FNC,Chronicle FNC,crashies FNC
flyuh MKOI,0 2 -2,1 0 +1,,,0 1 -1
nataNk MKOI,0 4 -4,1 1 +0,,0 1 -1,0 1 -1
baddyG MKOI,1 0 +1,,,0 1 -1,1 0 +1
MONSTEERR MKOI,,,,1 0 +1,1 0 +1
Filu MKOI,1 1 +0,0 1 -1,1 1 +0,1 0 +1,1 0 +1
