,Less VIT,Kicks VIT,Sayf VIT,Derke VIT,trexx VIT
HYUNMIN DRX,15 8 +7,11 11 +0,10 8 +2,13 17 -4,10 11 -1
BeYN DRX,6 8 -2,14 7 +7,7 6 +1,8 19 -11,8 6 +2
MaKo DRX,9 9 +0,8 12 -4,10 5 +5,10 14 -4,10 10 +0
Flashback DRX,10 14 -4,6 6 +0,8 9 -1,8 15 -7,10 8 +2
free1ng DRX,9 11 -2,6 10 -4,12 5 +7,15 13 +2,7 8 -1
