,Less VIT,Kicks VIT,Sayf VIT,Derke VIT,trexx VIT
HYUNMIN DRX,3 0 +3,1 0 +1,2 0 +2,0 2 -2,0 1 -1
BeYN DRX,,,,1 1 +0,
MaKo DRX,,,,2 2 +0,
Flashback DRX,,,1 0 +1,2 1 +1,2 0 +2
free1ng DRX,,,,1 1 +0,0 1 -1
