,Less VIT,Kicks VIT,Sayf VIT,Derke VIT,trexx VIT
HYUNMIN DRX,1 0 +1,1 2 -1,1 0 +1,1 0 +1,
BeYN DRX,,,1 0 +1,1 0 +1,
MaKo DRX,,,,1 0 +1,0 1 -1
Flashback DRX,1 0 +1,,1 1 +0,0 4 -4,
free1ng DRX,,,1 2 -1,1 0 +1,
