,Less VIT,Kicks VIT,Sayf VIT,Derke VIT,trexx VIT
HYUNMIN DRX,1 0 +1,,0 1 -1,1 4 -3,
BeYN DRX,,1 0 +1,1 1 +0,,2 0 +2
MaKo DRX,0 1 -1,,1 0 +1,0 2 -2,0 1 -1
Flashback DRX,1 0 +1,,,,
free1ng DRX,2 1 +1,,1 0 +1,0 2 -2,
