,Less VIT,Kicks VIT,Sayf VIT,Derke VIT,trexx VIT
HYUNMIN DRX,5 0 +5,2 2 +0,3 1 +2,2 6 -4,0 1 -1
BeYN DRX,,1 0 +1,2 1 +1,2 1 +1,2 0 +2
MaKo DRX,0 1 -1,,1 0 +1,3 4 -1,0 2 -2
Flashback DRX,2 0 +2,,2 1 +1,2 5 -3,2 0 +2
free1ng DRX,2 1 +1,,2 2 +0,2 3 -1,0 1 -1
