,Alfajer FNC,Boaster FNC,Chronicle FNC,crashies FNC,kaajak FNC
Jemkin RRQ,,,,1 0 +1,0 4 -4
crazyguy RRQ,0 1 -1,,,,0 1 -1
xffero RRQ,0 2 -2,,0 1 -1,,1 1 +0
Monyet RRQ,0 1 -1,0 1 -1,,,
Kushy RRQ,0 2 -2,,0 1 -1,1 0 +1,1 0 +1
