,Alfajer FNC,Boaster FNC,Chronicle FNC,crashies FNC,kaajak FNC
Jemkin RRQ,1 1 +0,,1 1 +0,0 1 -1,5 1 +4
crazyguy RRQ,0 1 -1,,,0 1 -1,
xffero RRQ,0 1 -1,,,,2 0 +2
Monyet RRQ,,,0 1 -1,,
Kushy RRQ,,1 0 +1,1 2 -1,2 0 +2,
