,Alfajer FNC,Boaster FNC,Chronicle FNC,crashies FNC,kaajak FNC
Jemkin RRQ,3 3 +0,3 4 -1,4 6 -2,3 2 +1,7 2 +5
crazyguy RRQ,2 4 -2,3 4 -1,2 4 -2,1 2 -1,1 2 -1
xffero RRQ,2 4 -2,2 1 +1,2 3 -1,4 5 -1,4 2 +2
Monyet RRQ,3 2 +1,2 1 +1,0 7 -7,2 1 +1,0 3 -3
Kushy RRQ,5 5 +0,4 2 +2,3 5 -2,5 3 +2,3 0 +3
