,Alfajer FNC,Boaster FNC,Chronicle FNC,crashies FNC,kaajak FNC
Jemkin RRQ,6 7 -1,4 7 -3,4 7 -3,6 4 +2,10 7 +3
crazyguy RRQ,5 10 -5,6 7 -1,4 8 -4,3 2 +1,3 4 -1
xffero RRQ,4 8 -4,2 8 -6,4 6 -2,4 5 -1,7 5 +2
Monyet RRQ,4 4 +0,3 6 -3,2 13 -11,6 3 +3,3 6 -3
Kushy RRQ,7 9 -2,6 8 -2,6 10 -4,9 4 +5,9 0 +9
