,Alfajer FNC,Boaster FNC,Chronicle FNC,crashies FNC,kaajak FNC
Jemkin RRQ,1 1 +0,,1 1 +0,1 1 +0,5 5 +0
crazyguy RRQ,0 2 -2,,,0 1 -1,0 1 -1
xffero RRQ,0 3 -3,,0 1 -1,,3 1 +2
Monyet RRQ,0 1 -1,0 1 -1,0 1 -1,,
Kushy RRQ,0 2 -2,1 0 +1,1 3 -2,3 0 +3,1 0 +1
