,Alfajer FNC,Boaster FNC,Chronicle FNC,crashies FNC,kaajak FNC
Jemkin RRQ,3 4 -1,1 3 -2,0 1 -1,3 2 +1,3 5 -2
crazyguy RRQ,3 6 -3,3 3 +0,2 4 -2,2 0 +2,2 2 +0
xffero RRQ,2 4 -2,0 7 -7,2 3 -1,,3 3 +0
Monyet RRQ,1 2 -1,1 5 -4,2 6 -4,4 2 +2,3 3 +0
Kushy RRQ,2 4 -2,2 6 -4,3 5 -2,4 1 +3,6 0 +6
