,Alfajer FNC,Boaster FNC,Chronicle FNC,crashies FNC,kaajak FNC
Jemkin RRQ,1 1 +0,2 0 +2,2 0 +2,1 0 +1,2 0 +2
crazyguy RRQ,,,,,
xffero RRQ,,,,,
Monyet RRQ,0 1 -1,,,,
Kushy RRQ,0 1 -1,,,,
