,marteen KC,Elite KC,Avez KC,SUYGETSU KC,saadhak KC
paTiTek TL,0 1 -1,,,,
keiko TL,1 0 +1,0 1 -1,1 1 +0,3 0 +3,1 1 +0
kamo TL,,,0 1 -1,1 0 +1,
Serial TL,,,1 0 +1,,1 1 +0
nAts TL,2 1 +1,0 1 -1,2 0 +2,1 0 +1,
