,marteen KC,Elite KC,Avez KC,SUYGETSU KC,saadhak KC
paTiTek TL,,,1 0 +1,,1 0 +1
keiko TL,1 0 +1,,,,1 0 +1
kamo TL,1 0 +1,2 0 +2,,1 0 +1,2 2 +0
Serial TL,1 0 +1,,0 1 -1,,1 0 +1
nAts TL,1 2 -1,,1 0 +1,,
