,marteen KC,Elite KC,Avez KC,SUYGETSU KC,saadhak KC
paTiTek TL,0 1 -1,,1 0 +1,,1 0 +1
keiko TL,2 0 +2,0 1 -1,1 1 +0,3 0 +3,2 1 +1
kamo TL,1 0 +1,2 0 +2,0 1 -1,2 0 +2,2 2 +0
Serial TL,1 0 +1,,1 1 +0,,2 1 +1
nAts TL,3 3 +0,0 1 -1,3 0 +3,1 0 +1,
