,MaKo DRX,BeYN DRX,HYUNMIN DRX,Flashback DRX,free1ng DRX
Chronicle FNC,5 1 +4,2 2 +0,6 1 +5,4 3 +1,1 2 -1
Boaster FNC,0 0,4 2 +2,1 1 +0,4 2 +2,1 0 +1
Alfajer FNC,5 0 +5,1 3 -2,2 1 +1,3 2 +1,3 2 +1
kaajak FNC,1 1 +0,2 3 -1,2 3 -1,2 1 +1,1 2 -1
crashies FNC,3 0 +3,4 0 +4,3 3 +0,2 2 +0,6 1 +5
