,MaKo DRX,BeYN DRX,HYUNMIN DRX,Flashback DRX,free1ng DRX
Chronicle FNC,2 3 -1,1 5 -4,1 4 -3,1 3 -2,1 3 -2
Boaster FNC,,3 4 -1,3 4 -1,3 4 -1,0 3 -3
Alfajer FNC,2 2 +0,6 0 +6,5 5 +0,2 5 -3,4 3 +1
kaajak FNC,3 1 +2,3 2 +1,3 5 -2,2 5 -3,3 3 +0
crashies FNC,3 2 +1,,3 4 -1,5 3 +2,1 3 -2
