,MaKo DRX,BeYN DRX,HYUNMIN DRX,Flashback DRX,free1ng DRX
Chronicle FNC,3 5 -2,3 2 +1,4 2 +2,2 3 -1,4 4 +0
Boaster FNC,3 2 +1,1 9 -8,2 2 +0,1 3 -2,3 1 +2
Alfajer FNC,4 1 +3,3 5 -2,2 4 -2,5 4 +1,1 2 -1
kaajak FNC,2 4 -2,2 2 +0,4 3 +1,5 2 +3,7 3 +4
crashies FNC,5 4 +1,5 2 +3,4 1 +3,4 4 +0,2 0 +2
