,MaKo DRX,BeYN DRX,HYUNMIN DRX,Flashback DRX,free1ng DRX
Chronicle FNC,,,0 1 -1,,
Boaster FNC,,1 1 +0,,,0 1 -1
Alfajer FNC,,1 0 +1,2 2 +0,0 2 -2,0 1 -1
kaajak FNC,2 1 +1,,0 1 -1,2 1 +1,0 1 -1
crashies FNC,,,,1 0 +1,
