,MaKo DRX,BeYN DRX,HYUNMIN DRX,Flashback DRX,free1ng DRX
Chronicle FNC,14 12 +2,10 11 -1,11 8 +3,11 10 +1,11 10 +1
Boaster FNC,4 3 +1,10 15 -5,9 9 +0,10 12 -2,8 5 +3
Alfajer FNC,11 6 +5,10 9 +1,13 11 +2,11 12 -1,9 9 +0
kaajak FNC,8 7 +1,10 9 +1,14 15 -1,11 9 +2,16 9 +7
crashies FNC,15 9 +6,11 5 +6,14 9 +5,16 9 +7,9 7 +2
