,MaKo DRX,BeYN DRX,HYUNMIN DRX,Flashback DRX,free1ng DRX
Chronicle FNC,,,,0 2 -2,
Boaster FNC,0 0,,,,
Alfajer FNC,,,,0 2 -2,
kaajak FNC,,,,,
crashies FNC,,,,,
