,MaKo DRX,BeYN DRX,HYUNMIN DRX,Flashback DRX,free1ng DRX
Chronicle FNC,4 3 +1,4 2 +2,0 1 -1,4 1 +3,5 1 +4
Boaster FNC,1 1 +0,2 0 +2,3 2 +1,2 3 -1,4 1 +3
Alfajer FNC,0 3 -3,0 1 -1,4 1 +3,1 1 +0,1 2 -1
kaajak FNC,2 1 +1,3 2 +1,5 4 +1,2 1 +1,5 1 +4
crashies FNC,4 3 +1,2 3 -1,4 1 +3,5 0 +5,0 3 -3
