,MaKo DRX,BeYN DRX,HYUNMIN DRX,Flashback DRX,free1ng DRX
Chronicle FNC,1 0 +1,,,2 1 +1,1 0 +1
Boaster FNC,,,,,
Alfajer FNC,0 1 -1,,,,0 1 -1
kaajak FNC,,2 1 +1,0 1 -1,2 0 +2,1 1 +0
crashies FNC,0 1 -1,,1 0 +1,,
