,MaKo DRX,BeYN DRX,HYUNMIN DRX,Flashback DRX,free1ng DRX
Chronicle FNC,,,,0 2 -2,
Boaster FNC,,,2 0 +2,,3 0 +3
Alfajer FNC,,,,0 2 -2,
kaajak FNC,3 0 +3,1 0 +1,2 1 +1,1 0 +1,4 0 +4
crashies FNC,,,,,
