,MaKo DRX,BeYN DRX,HYUNMIN DRX,Flashback DRX,free1ng DRX
Chronicle FNC,,,1 0 +1,,
Boaster FNC,0 0,,,0 1 -1,
Alfajer FNC,2 0 +2,0 1 -1,,2 0 +2,1 0 +1
kaajak FNC,1 1 +0,1 0 +1,,2 1 +1,
crashies FNC,,,,0 1 -1,1 0 +1
