,MaKo DRX,BeYN DRX,HYUNMIN DRX,Flashback DRX,free1ng DRX
Chronicle FNC,0 2 -2,,1 0 +1,1 0 +1,0 2 -2
Boaster FNC,,0 1 -1,,,
Alfajer FNC,1 1 +0,,0 1 -1,0 2 -2,
kaajak FNC,,,1 2 -1,3 1 +2,2 1 +1
crashies FNC,1 0 +1,,,,1 0 +1
