,MaKo DRX,BeYN DRX,HYUNMIN DRX,Flashback DRX,free1ng DRX
Chronicle FNC,1 2 -1,,2 1 +1,3 1 +2,1 2 -1
Boaster FNC,,1 2 -1,,0 1 -1,0 1 -1
Alfajer FNC,3 2 +1,1 1 +0,2 3 -1,2 4 -2,1 2 -1
kaajak FNC,3 2 +1,3 1 +2,1 4 -3,9 3 +6,3 3 +0
crashies FNC,1 1 +0,,1 0 +1,1 1 +0,2 0 +2
