,mindfreak PRX,d4v41 PRX,something PRX,Jinggg PRX,f0rsakeN PRX
MrFaliN FUT,0 1 -1,,,0 3 -3,0 1 -1
cNed FUT,,,0 1 -1,1 0 +1,
yetujey FUT,,,1 0 +1,0 1 -1,2 0 +2
AtaKaptan FUT,,0 1 -1,0 1 -1,0 3 -3,
qRaxs FUT,,,0 1 -1,1 1 +0,
