,mindfreak PRX,d4v41 PRX,something PRX,Jinggg PRX,f0rsakeN PRX
MrFaliN FUT,3 3 +0,2 3 -1,3 1 +2,2 5 -3,1 2 -1
cNed FUT,1 3 -2,4 4 +0,2 2 +0,4 3 +1,3 4 -1
yetujey FUT,2 2 +0,3 1 +2,6 4 +2,4 4 +0,2 3 -1
AtaKaptan FUT,1 1 +0,2 4 -2,1 2 -1,1 6 -5,2 2 +0
qRaxs FUT,2 2 +0,1 3 -2,0 5 -5,2 3 -1,0 2 -2
