,mindfreak PRX,d4v41 PRX,something PRX,Jinggg PRX,f0rsakeN PRX
MrFaliN FUT,,0 1 -1,,,
cNed FUT,,,1 1 +0,3 0 +3,2 0 +2
yetujey FUT,,0 2 -2,2 1 +1,1 0 +1,1 0 +1
AtaKaptan FUT,,,,,
qRaxs FUT,,0 1 -1,,,
