,mindfreak PRX,d4v41 PRX,something PRX,Jinggg PRX,f0rsakeN PRX
MrFaliN FUT,,,,2 0 +2,
cNed FUT,,,2 2 +0,1 0 +1,
yetujey FUT,,1 1 +0,1 0 +1,3 1 +2,2 0 +2
AtaKaptan FUT,,,2 0 +2,0 1 -1,0 1 -1
qRaxs FUT,,,,1 1 +0,0 2 -2
