,mindfreak PRX,d4v41 PRX,something PRX,Jinggg PRX,f0rsakeN PRX
MrFaliN FUT,2 5 -3,2 4 -2,1 6 -5,4 3 +1,4 0 +4
cNed FUT,3 4 -1,2 2 +0,7 6 +1,5 3 +2,4 2 +2
yetujey FUT,3 4 -1,3 5 -2,4 3 +1,4 3 +1,5 2 +3
AtaKaptan FUT,5 6 -1,4 2 +2,2 0 +2,2 4 -2,2 2 +0
qRaxs FUT,5 3 +2,4 6 -2,3 0 +3,2 3 -1,3 5 -2
