,mindfreak PRX,d4v41 PRX,something PRX,Jinggg PRX,f0rsakeN PRX
MrFaliN FUT,0 1 -1,,,2 3 -1,0 1 -1
cNed FUT,,,2 3 -1,2 0 +2,
yetujey FUT,,1 1 +0,2 0 +2,3 2 +1,4 0 +4
AtaKaptan FUT,,0 1 -1,2 1 +1,0 4 -4,0 1 -1
qRaxs FUT,,,0 1 -1,2 2 +0,0 2 -2
