,aspas LEV,kiNgg LEV,Mazino LEV,tex LEV,C0M LEV
trent G2,2 5 -3,6 2 +4,3 7 -4,6 2 +4,3 5 -2
valyn G2,6 4 +2,4 8 -4,6 4 +2,3 3 +0,6 5 +1
leaf G2,4 5 -1,4 2 +2,8 3 +5,6 5 +1,5 6 -1
icy G2,2 1 +1,2 4 -2,3 8 -5,7 5 +2,1 4 -3
JonahP G2,6 5 +1,4 1 +3,5 2 +3,1 11 -10,3 2 +1
