,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
valyn G2,,2 Round 2 Mazino aspas Round 23 C0M tex,3 Round 7 tex kiNgg aspas Round 12 kiNgg Mazino aspas Round 24 C0M Mazino aspas,,,,,1 Round 7 kiNgg aspas tex,,,43,1,1
JonahP G2,,6 Round 1 Mazino C0M Round 7 Mazino C0M Round 14 aspas Mazino Round 16 aspas kiNgg Round 20 Mazino aspas Round 23 aspas kiNgg,,,,,,,,,43,2,0
leaf G2,,6 Round 1 aspas kiNgg Round 4 Mazino C0M Round 6 kiNgg aspas Round 22 tex Mazino Round 25 Mazino tex Round 29 Mazino C0M,3 Round 11 Mazino kiNgg tex Round 21 aspas C0M kiNgg Round 28 tex Mazino aspas,,,,1 Round 5 kiNgg C0M,,,,56,0,1
icy G2,,3 Round 16 tex Mazino Round 18 kiNgg tex Round 25 C0M aspas,1 Round 15 aspas tex Mazino,,,,,,,,33,10,0
trent G2,,4 Round 3 Mazino kiNgg Round 13 C0M kiNgg Round 21 tex Mazino Round 29 kiNgg tex,1 Round 27 aspas C0M kiNgg,,,,,,,,47,1,1
C0M LEV,,2 Round 7 trent leaf Round 21 JonahP valyn,1 Round 8 valyn trent JonahP,,,1 Round 28 leaf,,,,,58,4,2
tex LEV,,6 Round 1 leaf JonahP Round 9 leaf JonahP Round 10 JonahP leaf Round 14 JonahP leaf Round 22 JonahP icy Round 30 valyn JonahP,,1 Round 13 valyn trent JonahP leaf tex,,,1 Round 13 JonahP leaf,,,,47,1,0
Mazino LEV,,3 Round 11 valyn trent Round 18 JonahP icy Round 20 valyn trent,2 Round 17 leaf valyn trent Round 30 icy trent leaf,,,,,,,,37,7,0
aspas LEV,,4 Round 3 JonahP trent Round 12 trent leaf Round 19 trent icy Round 29 trent leaf,1 Round 15 valyn JonahP trent,,,,1 Round 29 trent leaf,,,,45,0,2
kiNgg LEV,,2 Round 5 icy leaf kiNgg Round 10 valyn trent,,,,1 Round 15 icy,,,,,37,2,0
