,aspas LEV,kiNgg LEV,Mazino LEV,tex LEV,C0M LEV
trent G2,,0 1 -1,,1 0 +1,1 3 -2
valyn G2,0 1 -1,0 2 -2,,,2 0 +2
leaf G2,1 0 +1,0 2 -2,2 0 +2,2 0 +2,1 0 +1
icy G2,,,2 2 +0,3 4 -1,1 2 -1
JonahP G2,1 0 +1,,2 2 +0,4 3 +1,0 2 -2
