,aspas LEV,kiNgg LEV,Mazino LEV,tex LEV,C0M LEV
trent G2,0 2 -2,,,,
valyn G2,0 1 -1,,,,
leaf G2,0 4 -4,1 0 +1,1 0 +1,1 0 +1,
icy G2,,,,,
JonahP G2,1 1 +0,,1 0 +1,,
