,aspas LEV,kiNgg LEV,Mazino LEV,tex LEV,C0M LEV
trent G2,3 10 -7,6 6 +0,7 9 -2,9 3 +6,4 8 -4
valyn G2,7 7 +0,6 13 -7,7 8 -1,6 5 +1,7 7 +0
leaf G2,5 11 -6,6 5 +1,11 5 +6,8 5 +3,8 11 -3
icy G2,3 3 +0,4 8 -4,5 12 -7,9 7 +2,3 7 -4
JonahP G2,8 7 +1,8 4 +4,8 5 +3,6 11 -5,4 9 -5
