,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
Sayf VIT,,1 0 +1,,1 1 +0,0 1 -1
Kicks VIT,,,,,
Less VIT,0 2 -2,,,,
Derke VIT,1 1 +0,1 0 +1,1 0 +1,,
CyvOph VIT,,,,,
