,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
Sayf VIT,0 2 -2,,0 1 -1,0 1 -1,1 0 +1
Kicks VIT,,,,,
Less VIT,0 1 -1,,0 3 -3,,
Derke VIT,0 4 -4,0 1 -1,0 1 -1,1 0 +1,3 2 +1
CyvOph VIT,,,1 1 +0,,
