,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
Sayf VIT,0 4 -4,1 0 +1,,1 2 -1,0 1 -1
Kicks VIT,,0 1 -1,,,
Less VIT,0 3 -3,,,0 1 -1,
Derke VIT,1 1 +0,1 0 +1,2 0 +2,1 0 +1,
CyvOph VIT,,,,,
