,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
Sayf VIT,4 6 -2,4 2 +2,2 3 -1,2 4 -2,2 2 +0
Kicks VIT,1 1 +0,3 4 -1,3 1 +2,2 3 -1,1 5 -4
Less VIT,3 5 -2,4 1 +3,2 3 -1,4 5 -1,2 2 +0
Derke VIT,2 7 -5,1 3 -2,1 3 -2,3 0 +3,3 5 -2
CyvOph VIT,4 3 +1,3 3 +0,5 3 +2,6 2 +4,4 3 +1
