,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
Sayf VIT,1 5 -4,1 0 +1,1 1 +0,2 1 +1,1 1 +0
Kicks VIT,2 2 +0,,0 1 -1,,0 1 -1
Less VIT,2 3 -1,,0 4 -4,2 3 -1,
Derke VIT,0 6 -6,1 2 -1,7 5 +2,1 3 -2,3 3 +0
CyvOph VIT,2 0 +2,1 1 +0,1 2 -1,2 0 +2,0 2 -2
