,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
Sayf VIT,2 3 -1,2 3 -1,0 4 -4,1 3 -2,4 1 +3
Kicks VIT,3 3 +0,2 3 -1,3 3 +0,1 5 -4,2 1 +1
Less VIT,2 4 -2,4 1 +3,3 3 +0,2 1 +1,1 3 -2
Derke VIT,0 3 -3,0 2 -2,6 4 +2,4 3 +1,2 2 +0
CyvOph VIT,4 1 +3,2 3 -1,0 6 -6,5 1 +4,1 1 +0
