,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
Sayf VIT,1 3 -2,1 0 +1,1 0 +1,2 0 +2,0 1 -1
Kicks VIT,1 1 +0,,0 1 -1,,0 1 -1
Less VIT,1 0 +1,,,1 2 -1,
Derke VIT,0 1 -1,1 1 +0,4 2 +2,0 2 -2,0 1 -1
CyvOph VIT,1 0 +1,1 1 +0,,1 0 +1,0 1 -1
