,Boo TH,RieNs TH,MiniBoo TH,Wo0t TH,benjyfishy TH
aspas LEV,10 10 +0,9 9 +0,8 8 +0,13 1 +12,12 10 +2
tex LEV,5 5 +0,8 4 +4,10 12 -2,7 5 +2,5 8 -3
Mazino LEV,8 4 +4,11 10 +1,5 8 -3,7 5 +2,7 7 +0
C0M LEV,6 6 +0,6 6 +0,7 9 -2,5 8 -3,6 8 -2
kiNgg LEV,3 8 -5,3 6 -3,11 5 +6,9 5 +4,5 10 -5
