,Boo TH,RieNs TH,MiniBoo TH,Wo0t TH,benjyfishy TH
aspas LEV,2 10 -8,5 7 -2,4 2 +2,6 1 +5,6 3 +3
tex LEV,4 3 +1,6 1 +5,5 7 -2,6 2 +4,3 7 -4
Mazino LEV,4 3 +1,6 6 +0,3 6 -3,3 4 -1,5 3 +2
C0M LEV,4 3 +1,3 1 +2,3 8 -5,3 4 -1,5 5 +0
kiNgg LEV,3 5 -2,1 5 -4,9 1 +8,4 3 +1,2 6 -4
